Cluster,Age,Height,Weight,FCVC,NCP,CH2O,FAF,TUE,Jumlah Data,Kategori Dominan,Persentase Dominan (%)
0,22.91117594021739,1.750986413043478,89.93020685326086,2.0001629347826086,2.6913265923913046,2.1413201847826087,0.4439527336956522,1.3540429239130436,184,Obesity_Type_I,30.978260869565215
1,25.920643126582277,1.7935638860759493,106.5137997721519,1.9705145864978904,2.938729042194093,2.1580173375527427,0.9604857594936709,0.27609556962025317,237,Obesity_Type_II,49.36708860759494
2,21.755398078313252,1.628938746987952,62.76203045180723,2.3838176024096387,3.0945888614457826,1.7983825602409638,0.9179086746987951,0.0684118373493976,166,Normal_Weight,32.53012048192771
3,20.82711164925373,1.7305775597014925,72.9335422238806,2.0135823358208955,3.0139912164179106,2.3487141268656715,2.3447742313432838,1.402735052238806,134,Normal_Weight,24.62686567164179
4,24.33676237121212,1.6540905606060607,103.01356837878788,2.940954553030303,2.597502909090909,1.2275873333333334,0.4428237575757576,0.7750322348484848,132,Obesity_Type_III,53.03030303030303
5,21.317046532019702,1.6074509359605913,64.75889703940886,2.325526886699507,1.1254827684729065,1.9331243793103448,0.5900262068965517,0.6747628275862069,203,Obesity_Type_I,23.645320197044335
6,20.151577786259544,1.7822599236641221,71.50950126717558,2.7286986946564884,3.310406923664122,2.333458900763359,2.146356,0.3084524656488549,131,Insufficient_Weight,35.87786259541985
7,19.896403142857142,1.6691820142857143,61.149574971428564,2.8767917785714285,3.0666190642857143,1.9528011785714283,1.3077972642857143,1.1498900642857144,140,Insufficient_Weight,42.142857142857146
8,20.195260925373134,1.6581738283582088,62.54193642537313,1.6605332388059704,3.101761574626866,1.396825380597015,0.7543635671641791,1.1256510223880596,134,Normal_Weight,33.582089552238806
9,25.89443160294118,1.6424710147058823,107.53322344852941,2.994565375,3.0,2.628610492647059,0.07886114705882352,0.3511614411764706,136,Obesity_Type_III,91.91176470588235
10,39.41562184172662,1.6413769208633093,82.19701192086332,2.3251009424460434,2.88186826618705,1.7298485179856116,0.4802894460431655,0.16257940287769784,139,Obesity_Type_I,33.093525179856115
11,23.27022455656109,1.7822823529411767,129.63855228959275,2.932956040723982,2.9567488461538463,2.2885321855203618,1.3386573076923076,0.7744730180995475,221,Obesity_Type_III,58.371040723981906
12,32.68735105384615,1.7269412153846153,88.75748857692308,2.549086253846154,1.6623905076923078,1.8521431538461537,1.6995213846153847,0.28329459230769233,130,Obesity_Type_I,29.230769230769234
